Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,SRHighFloor,SRCrib,SRKingSizeBed,SRTwinBed,SRQuietRoom,TotalRevenue,RetentionRate,RevenuePerNight,RevenuePerPersonNight,NumberOfSR,Foreigner,LeadTimeCategory_Last-minute,LeadTimeCategory_Planner,AgeGroup_Senior,AgeGroup_Young,CustomerCategory_New,CustomerCategory_Recent,Continent_AS,Continent_EU,Continent_NA,Continent_SA,DC_Corporate,DC_Direct,DC_Travel Agent/Operator,FlagOutlier
24.0,949.0,7.0,9682.4,1300.0,0.0,0.0,1.0,12.0,6.0,0,0,0,0,0,10982.4,1.0,1830.3999999999999,915.1999999999999,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,1,1
74.0,187.0,197.0,336.0,136.5,0.0,0.0,15.0,28.0,28.0,0,0,1,0,0,472.5,1.0,16.875,16.875,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,1,1
56.0,277.0,1.0,390.0,3190.4,0.0,0.0,1.0,5.0,5.0,0,0,0,0,1,3580.4,1.0,716.08,716.08,0,1,1.0,0.0,1.0,0.0,1.0,0.0,0,0,1,0,0,1,0,1
41.0,1295.0,6.0,3910.0,433.5,2.0,1.0,38.0,42.0,42.0,0,0,0,0,0,4343.5,0.926829268292683,103.41666666666667,103.41666666666667,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1
72.0,720.0,574.0,468.0,157.1,0.0,0.0,1.0,12.0,6.0,0,0,0,0,0,625.1,1.0,104.18333333333334,52.09166666666667,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,1,1
68.0,709.0,588.0,234.0,110.0,0.0,0.0,1.0,6.0,3.0,0,0,0,0,0,344.0,1.0,114.66666666666667,57.333333333333336,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0,0,0,1,1
48.0,679.0,9.0,148.0,22.5,1.0,0.0,1.0,2.0,2.0,0,0,0,0,0,170.5,0.5,85.25,85.25,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,1,1
76.0,709.0,588.0,234.0,124.5,0.0,0.0,1.0,6.0,3.0,0,0,0,0,0,358.5,1.0,119.5,59.75,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0,1,1
76.0,723.0,574.0,234.0,135.0,0.0,0.0,1.0,6.0,3.0,0,0,0,0,0,369.0,1.0,123.0,61.5,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0,1,1
73.0,938.0,22.0,534.0,106.5,0.0,1.0,1.0,2.0,2.0,0,0,0,0,0,640.5,0.5,320.25,320.25,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1
48.0,546.0,17.0,510.72,405.5,1.0,0.0,1.0,12.0,4.0,0,0,0,0,0,916.22,0.5,229.055,76.35166666666667,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,1,1
44.0,237.0,16.0,640.0,80.0,1.0,0.0,1.0,2.0,2.0,0,0,0,0,0,720.0,0.5,360.0,360.0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,1
67.0,287.0,59.0,395.0,5237.0,0.0,0.0,1.0,5.0,5.0,0,0,0,0,0,5632.0,1.0,1126.4,1126.4,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,1,1
62.0,1246.0,16.5,1281.0,296.6,3.0,0.0,4.0,14.0,14.0,0,0,0,0,0,1577.6,0.5714285714285714,112.68571428571428,112.68571428571428,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1
